Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,fWAR,xWOBADf,wOBA,xWOBA,xAVG,xOBP,OBP,AVG,AB,RPW,RLR,rPOS,BSR,wRAA
2492,1238233344,J. Kemp,Jim Kemp,Kemp,P,Iona College,IONA,730242048,Iona,BBC,R,R,.246,.171,.377,.206,.116,.267,.410,.292,96,3.30,2.27,-4.59,.026,3.111
2493,1302031616,N. Barksdale,Nathan Barksdale,Barksdale,CF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,.246,.083,.353,.269,.184,.332,.416,.289,90,3.39,2.33,-1.69,-.380,.577
2494,1304103680,Z. Martin,Zach Martin,Martin,RF,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,R,.245,-,.366,.072,-,.103,.333,.257,35,3.36,0.83,-0.83,.112,.715
2495,1193067264,E. Grintz,Eric Grintz,Grintz,C,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,.243,.036,.346,.310,.194,.388,.400,.211,38,3.28,0.96,0.45,-.584,-.034
2496,1137295616,C. Miller,Caden Miller,Miller,2B,San Diego State University,SDSU,730218496,San Diego State,BBC,S,R,.243,.021,.319,.298,.255,.349,.350,.256,117,3.22,2.64,2.04,-.435,-3.468
2497,1204038144,C. Saucke,Casey Saucke,Saucke,CF,University of Virginia,UVA,5415,Virginia,BBC,R,R,.242,.058,.362,.304,.246,.344,.392,.301,249,3.38,5.72,-9.10,.336,3.866
2498,1263456768,C. Sturgeon,Camrin Sturgeon,Sturgeon,DH,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,.240,-,.380,.078,-,.111,.407,.333,24,3.28,0.52,-0.79,.267,.794
2499,1310547968,J. Farrar,Jacob Farrar,Farrar,DH,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,.239,.177,.452,.276,.000,.400,.600,.333,3,3.20,0.09,0.00,.203,.468
2500,1178799872,T. Legendre,Tyler Legendre,Legendre,PH,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,.239,.531,1.261,.730,.817,.817,1.000,1.000,1,3.50,0.02,0.00,.004,.811
2500,1177548800,A. Thielman,Avery Thielman,Thielman,CF,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,.239,-,1.261,.000,-,.000,1.000,1.000,1,3.50,0.02,0.00,.004,.811
2502,1310870528,C. Hegwood,Colton Hegwood,Hegwood,SS,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,S,R,.239,.081,.323,.242,.179,.277,.339,.250,52,3.19,1.12,0.80,.130,-1.291
2503,1238232832,T. Santa maria,Tony Santa maria,Santa maria,SS,Rutgers University,RUTG,730229248,Rutgers,BBC,R,R,.238,.051,.379,.328,.370,.370,.429,.429,7,3.20,0.13,0.02,.418,.198
2504,1324512000,W. Folse,Wes Folse,Folse,C,Sam Houston State University,SHSU,5363,Sam Houston State,BBC,R,R,.235,-.002,.285,.286,.265,.343,.288,.200,50,3.12,1.13,2.48,.556,-3.432
2505,1317505536,T. Elliott,Travis Elliott,Elliott,3B,The Citadel,CIT,730366720,The Citadel,BBC,R,R,.235,.088,.323,.234,.176,.285,.366,.270,141,3.28,3.25,2.04,-.847,-3.672
2506,1310534656,J. Koonin,Jake Koonin,Koonin,SS,Princeton University,PRIN,730198784,Princeton,BBC,R,R,.234,.013,.317,.304,.164,.305,.314,.175,57,3.23,1.38,1.14,.193,-1.958
2507,1239374080,Z. Kent,Zack Kent,Kent,RF,Wagner College,WAG,730192640,Wagner,BBC,R,R,.233,.218,.350,.132,.004,.191,.438,.308,13,3.24,0.30,-0.04,.449,.045
2508,1166290944,T. Fote,Tyler Fote,Fote,2B,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,L,R,.232,-,.403,.138,-,.200,.500,.375,8,3.30,0.19,0.06,.016,.497
